filepath_stem,audio_path,title,mbid,raga,taal,form,length_ms,metadata_source,concert_folder,midi_path
Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Paragu Matada/Paragu Matada,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Paragu Matada/Paragu Matada.mp3.mp3,Paragu Matada,17a6b782-72a3-49a1-a9df-20bbc30aa9a0,Paragu Matada,,,1400000.0,title_fallback,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_046_Paragu_Matada.mid
Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Tamburi Mitidava/Tamburi Mitidava,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan/Tamburi Mitidava/Tamburi Mitidava.mp3.mp3,Tamburi Mitidava,e5224384-f679-45df-89b3-ea61bc25e146,Tamburi Mitidava,,,189000.0,title_fallback,Salem Gayatri Venkatesan at Arkay by Salem Gayatri Venkatesan,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_047_Tamburi_Mitidava.mid
Srividya Janakiraman at Arkay by Srividya Janakiraman/Nee Sari evvaramma/Nee Sari evvaramma,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Srividya Janakiraman at Arkay by Srividya Janakiraman/Nee Sari evvaramma/Nee Sari evvaramma.mp3.mp3,Nee Sari evvaramma,9c7784e0-b808-466e-bd43-582b8ab4f8fb,bhairavi,,Kriti,3161000.0,json,Srividya Janakiraman at Arkay by Srividya Janakiraman,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_048_bhairavi.mid
Srividya Janakiraman at Arkay by Srividya Janakiraman/Gnanamosaga Rada/Gnanamosaga Rada,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Srividya Janakiraman at Arkay by Srividya Janakiraman/Gnanamosaga Rada/Gnanamosaga Rada.mp3.mp3,Gnanamosaga Rada,34164309-59f7-46be-9de8-4a179629f5ef,Gamakakriya,rupaka,Kriti,1732000.0,json,Srividya Janakiraman at Arkay by Srividya Janakiraman,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_049_Gamakakriya.mid
Srividya Janakiraman at Arkay by Srividya Janakiraman/Parvathi Ninu Ne Nera Nammithi/Parvathi Ninu Ne Nera Nammithi,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Srividya Janakiraman at Arkay by Srividya Janakiraman/Parvathi Ninu Ne Nera Nammithi/Parvathi Ninu Ne Nera Nammithi.mp3.mp3,Parvathi Ninu Ne Nera Nammithi,dd2a2d35-350e-4913-8d47-446dac5030a2,kalgada,adi,Kriti,260000.0,json,Srividya Janakiraman at Arkay by Srividya Janakiraman,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_050_kalgada.mid
Sumitra Nitin at Arkay by Sumitra Nitin/Dorakuna/Dorakuna,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Dorakuna/Dorakuna.mp3.mp3,Dorakuna,6d4e58d1-e565-4987-b7a5-c63a4e9d3f90,Dorakuna,,,2062000.0,title_fallback,Sumitra Nitin at Arkay by Sumitra Nitin,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_051_Dorakuna.mid
Sumitra Nitin at Arkay by Sumitra Nitin/Ganamuda Panam/Ganamuda Panam,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Sumitra Nitin at Arkay by Sumitra Nitin/Ganamuda Panam/Ganamuda Panam.mp3.mp3,Ganamuda Panam,d99f623e-8004-4e1a-a31c-5f760a018498,Ganamuda Panam,,,1788000.0,title_fallback,Sumitra Nitin at Arkay by Sumitra Nitin,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_052_Ganamuda_Panam.mid
Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Ninnuvina Marigalada/Ninnuvina Marigalada,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Ninnuvina Marigalada/Ninnuvina Marigalada.mp3.mp3,Ninnuvina Marigalada,6feaf61d-1ac3-4f35-a73f-7f4ea6647056,riti gaula,adi,Kriti,1364000.0,json,Vasundara Rajagopal at Arkay by Vasundara Rajagopal,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_053_riti_gaula.mid
Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Shlokham/Shlokham,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Shlokham/Shlokham.mp3.mp3,Shlokham,4c0158a2-679e-4958-a079-f4b95283d049,Shlokham,,Shloka,2357000.0,title_fallback,Vasundara Rajagopal at Arkay by Vasundara Rajagopal,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_054_Shlokham.mid
Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Sri Jalandara/Sri Jalandara,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Sri Jalandara/Sri Jalandara.mp3.mp3,Sri Jalandara,2e87ed14-4a88-48b9-8c07-9856a5bab19d,gambhira nata,adi,Kriti,382000.0,json,Vasundara Rajagopal at Arkay by Vasundara Rajagopal,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_055_gambhira_nata.mid
Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Munnu Ravana/Munnu Ravana,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vasundara Rajagopal at Arkay by Vasundara Rajagopal/Munnu Ravana/Munnu Ravana.mp3.mp3,Munnu Ravana,0bc86ae5-dcfc-42ec-916e-bd9a1288f31d,thodi,mishra jhampe,Kriti,195000.0,json,Vasundara Rajagopal at Arkay by Vasundara Rajagopal,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_056_thodi.mid
Vidya Subramanian at Arkay by Vidya Subramanian/Janakipathe/Janakipathe,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vidya Subramanian at Arkay by Vidya Subramanian/Janakipathe/Janakipathe.mp3.mp3,Janakipathe,02983b75-909c-4f32-89f6-d2f38e65550d,Janakipathe,,,1804000.0,title_fallback,Vidya Subramanian at Arkay by Vidya Subramanian,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_057_Janakipathe.mid
Vidya Subramanian at Arkay by Vidya Subramanian/Kanakangaka Guha/Kanakangaka Guha,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vidya Subramanian at Arkay by Vidya Subramanian/Kanakangaka Guha/Kanakangaka Guha.mp3.mp3,Kanakangaka Guha,f6327618-9040-4906-83a4-105da6b26209,Kanakangaka Guha,,,276000.0,title_fallback,Vidya Subramanian at Arkay by Vidya Subramanian,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_058_Kanakangaka_Guha.mid
Vidya Subramanian at Arkay by Vidya Subramanian/Vinakayunna Della/Vinakayunna Della,/Users/mohammadashraf/Desktop/Thesis-Best/datasets/indian_classical/saraga1.5_carnatic/Vidya Subramanian at Arkay by Vidya Subramanian/Vinakayunna Della/Vinakayunna Della.mp3.mp3,Vinakayunna Della,709c217c-3fb6-47f0-bc67-e53c13952d05,Vinakayunna Della,,,1161000.0,title_fallback,Vidya Subramanian at Arkay by Vidya Subramanian,/Users/mohammadashraf/Desktop/Thesis-Best/data/processed/carnatic/midi/carnatic_059_Vinakayunna_Della.mid
